saps,fecha,fecha_mes,fecha_anio,id_servicio,prestacion_categoria,prestacion_tipo,consulta_cantidad,barrio_operativo
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,17,
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,4,
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,8,
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,105,
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,23,
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,SUTURAS,28,
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,28,
DR. BENJAMIN SERRANO,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,47,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,219,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,8,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,15,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,209,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,43,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,91,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,20,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,PAP,1,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,ECOGRAFIAS,14,
DR. ROSSI CANDIA,2023-01-01,1,2023,4,ENFERMERIA,TEST HPV,1,
DR. SEMPER,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,279,
DR. SEMPER,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,127,
DR. SEMPER,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,70,
DR. SEMPER,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,74,
DR. SEMPER,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,55,
DR. SEMPER,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,8,
DR. CHERCOFF,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,180,
DR. CHERCOFF,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,143,
DR. CHERCOFF,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,5,
DR. CHERCOFF,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,197,
DR. CHERCOFF,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,37,
DR. CHERCOFF,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,43,
DR. CHERCOFF,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,9,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,152,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,16,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,10,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,125,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,15,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,40,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,52,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,PAP,10,
Dr. CALMANASH,2023-01-01,1,2023,4,ENFERMERIA,TEST HPV,6,
MARCELINO VERA,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,95,
MARCELINO VERA,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,25,
MARCELINO VERA,2023-02-01,2,2023,4,ENFERMERIA,NEBULIZACIONES,10,
MARCELINO VERA,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,95,
MARCELINO VERA,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,10,
MARCELINO VERA,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,35,
MARCELINO VERA,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,25,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,140,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,21,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,GLUCEMIA,20,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,NEBULIZACIONES,25,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,50,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,31,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,58,
ITATI,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,71,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,189,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,18,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,GLUCEMIA,20,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,NEBULIZACIONES,3,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,390,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,14,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,33,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,147,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,PAP,17,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,ECOGRAFIAS,99,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,IMPLANTE SUBDERMICO,21,
ESPERANZA,2023-02-01,2,2023,4,ENFERMERIA,TEST HPV,17,
DR. MANUEL CASSUSO,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,168,
DR. MANUEL CASSUSO,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,4,
DR. MANUEL CASSUSO,2023-02-01,2,2023,4,ENFERMERIA,GLUCEMIA,2,
DR. MANUEL CASSUSO,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,277,
DR. MANUEL CASSUSO,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,21,
DR. MANUEL CASSUSO,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,25,
DR. MANUEL CASSUSO,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,151,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,261,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,358,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,GLUCEMIA,96,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,446,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,57,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,SUTURAS,8,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,182,
DR. SEMPER,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,46,
VILLA CHIQUITA,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,89,
VILLA CHIQUITA,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,2,
VILLA CHIQUITA,2023-02-01,2,2023,4,ENFERMERIA,GLUCEMIA,3,
VILLA CHIQUITA,2023-02-01,2,2023,4,ENFERMERIA,NEBULIZACIONES,2,
VILLA CHIQUITA,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,105,
VILLA CHIQUITA,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,9,
VILLA CHIQUITA,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,18,
CICHERO,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,216,
CICHERO,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,2,
CICHERO,2023-02-01,2,2023,4,ENFERMERIA,GLUCEMIA,42,
CICHERO,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,270,
